year	pc8
2003	2710T110
2003	2710T121
2003	2710T122
2003	2710T131
2003	2710T132
2003	2710T141
2003	2710T142
2003	2710T211
2003	2710T212
2003	2710T221
2003	2710T222
2003	2710T231
2003	2710T241
2003	2710T242
2003	2710T243
2003	2710T244
2003	2710T251
2003	2710T252
2003	2710T260
2003	2710T310
2003	2710T320
2003	2710T330
2003	2710T340
2003	2710T350
2003	2710T360
2004	2710T110
2004	2710T121
2004	2710T122
2004	2710T131
2004	2710T132
2004	2710T141
2004	2710T142
2004	2710T211
2004	2710T212
2004	2710T221
2004	2710T222
2004	2710T231
2004	2710T241
2004	2710T242
2004	2710T243
2004	2710T244
2004	2710T251
2004	2710T252
2004	2710T260
2004	2710T310
2004	2710T320
2004	2710T330
2004	2710T340
2004	2710T350
2004	2710T360
2005	2710T110
2005	2710T121
2005	2710T122
2005	2710T131
2005	2710T132
2005	2710T141
2005	2710T142
2005	2710T211
2005	2710T212
2005	2710T221
2005	2710T222
2005	2710T231
2005	2710T241
2005	2710T242
2005	2710T243
2005	2710T244
2005	2710T251
2005	2710T252
2005	2710T260
2005	2710T310
2005	2710T320
2005	2710T330
2005	2710T340
2005	2710T350
2005	2710T360
2006	2710T110
2006	2710T121
2006	2710T122
2006	2710T131
2006	2710T132
2006	2710T141
2006	2710T142
2006	2710T211
2006	2710T212
2006	2710T221
2006	2710T222
2006	2710T231
2006	2710T241
2006	2710T242
2006	2710T243
2006	2710T244
2006	2710T251
2006	2710T252
2006	2710T260
2006	2710T310
2006	2710T320
2006	2710T330
2006	2710T340
2006	2710T350
2006	2710T360
2007	2710T110
2007	2710T121
2007	2710T122
2007	2710T131
2007	2710T132
2007	2710T141
2007	2710T142
2007	2710T211
2007	2710T212
2007	2710T221
2007	2710T222
2007	2710T231
2007	2710T241
2007	2710T242
2007	2710T243
2007	2710T244
2007	2710T251
2007	2710T252
2007	2710T260
2007	2710T310
2007	2710T320
2007	2710T330
2007	2710T340
2007	2710T350
2007	2710T360
2008	2410T110
2008	2410T121
2008	2410T122
2008	2410T131
2008	2410T132
2008	2410T141
2008	2410T142
2008	2410T211
2008	2410T212
2008	2410T221
2008	2410T222
2008	2410T231
2008	2410T241
2008	2410T242
2008	2410T243
2008	2410T244
2008	2410T251
2008	2410T252
2008	2410T260
2008	2410T310
2008	2410T320
2008	2410T330
2008	2410T340
2008	2410T350
2008	2410T360
2009	2410T110
2009	2410T121
2009	2410T122
2009	2410T131
2009	2410T132
2009	2410T141
2009	2410T142
2009	2410T211
2009	2410T212
2009	2410T221
2009	2410T222
2009	2410T231
2009	2410T241
2009	2410T242
2009	2410T243
2009	2410T244
2009	2410T251
2009	2410T252
2009	2410T260
2009	2410T310
2009	2410T320
2009	2410T330
2009	2410T340
2009	2410T350
2009	2410T360
2010	2410T110
2010	2410T121
2010	2410T122
2010	2410T131
2010	2410T132
2010	2410T141
2010	2410T142
2010	2410T211
2010	2410T212
2010	2410T221
2010	2410T222
2010	2410T231
2010	2410T241
2010	2410T242
2010	2410T243
2010	2410T244
2010	2410T251
2010	2410T252
2010	2410T260
2010	2410T310
2010	2410T320
2010	2410T330
2010	2410T340
2010	2410T350
2010	2410T360
2011	2410T110
2011	2410T121
2011	2410T122
2011	2410T131
2011	2410T132
2011	2410T141
2011	2410T142
2011	2410T211
2011	2410T212
2011	2410T221
2011	2410T222
2011	2410T231
2011	2410T241
2011	2410T242
2011	2410T243
2011	2410T244
2011	2410T251
2011	2410T252
2011	2410T260
2011	2410T310
2011	2410T320
2011	2410T330
2011	2410T340
2011	2410T350
2011	2410T360
2012	2410T110
2012	2410T121
2012	2410T122
2012	2410T131
2012	2410T132
2012	2410T141
2012	2410T142
2012	2410T211
2012	2410T212
2012	2410T221
2012	2410T222
2012	2410T231
2012	2410T241
2012	2410T242
2012	2410T243
2012	2410T244
2012	2410T251
2012	2410T252
2012	2410T260
2012	2410T310
2012	2410T320
2012	2410T330
2012	2410T340
2012	2410T350
2012	2410T360
2013	2410T110
2013	2410T121
2013	2410T122
2013	2410T131
2013	2410T132
2013	2410T141
2013	2410T142
2013	2410T211
2013	2410T212
2013	2410T221
2013	2410T222
2013	2410T231
2013	2410T241
2013	2410T242
2013	2410T243
2013	2410T244
2013	2410T251
2013	2410T252
2013	2410T260
2013	2410T310
2013	2410T320
2013	2410T330
2013	2410T340
2013	2410T350
2013	2410T360
2014	2410T110
2014	2410T121
2014	2410T122
2014	2410T131
2014	2410T132
2014	2410T141
2014	2410T142
2014	2410T211
2014	2410T212
2014	2410T221
2014	2410T222
2014	2410T231
2014	2410T241
2014	2410T242
2014	2410T243
2014	2410T244
2014	2410T251
2014	2410T252
2014	2410T260
2014	2410T310
2014	2410T320
2014	2410T330
2014	2410T340
2014	2410T350
2014	2410T360
