pc8	lpc8	year	lyear
2710T110		2003	2002
2710T121		2003	2002
2710T122		2003	2002
2710T131		2003	2002
2710T132		2003	2002
2710T141		2003	2002
2710T142		2003	2002
2710T211		2003	2002
2710T212		2003	2002
2710T221		2003	2002
2710T222		2003	2002
2710T231		2003	2002
2710T241		2003	2002
2710T242		2003	2002
2710T243		2003	2002
2710T244		2003	2002
2710T251		2003	2002
2710T252		2003	2002
2710T260		2003	2002
2710T310		2003	2002
2710T320		2003	2002
2710T330		2003	2002
2710T340		2003	2002
2710T350		2003	2002
2710T360		2003	2002
2410T110	2710T110	2008	2007
2410T121	2710T121	2008	2007
2410T122	2710T122	2008	2007
2410T131	2710T131	2008	2007
2410T132	2710T132	2008	2007
2410T141	2710T141	2008	2007
2410T142	2710T142	2008	2007
2410T211	2710T211	2008	2007
2410T212	2710T212	2008	2007
2410T221	2710T221	2008	2007
2410T222	2710T222	2008	2007
2410T231	2710T231	2008	2007
2410T241	2710T241	2008	2007
2410T242	2710T242	2008	2007
2410T243	2710T243	2008	2007
2410T244	2710T244	2008	2007
2410T251	2710T251	2008	2007
2410T252	2710T252	2008	2007
2410T260	2710T260	2008	2007
2410T310	2710T310	2008	2007
2410T320	2710T320	2008	2007
2410T330	2710T330	2008	2007
2410T340	2710T340	2008	2007
2410T350	2710T350	2008	2007
2410T360	2710T360	2008	2007
